Sun. 15 May.	 Zenit - Lokomotiv M.	1:1	-	+	2
Mon. 16 May.	 Amkar Perm - Ufa	1:0	-	-	1
Mon. 16 May.	 Kuban Krasnodar - Dinamo Moscow	1:0	-	-	1
Mon. 16 May.	 Rostov - Ural	1:0	-	-	1
Mon. 16 May.	 Spartak Moscow - Terek Grozny	3:0	+	-	3
Mon. 16 May.	 CSKA Moscow - FC Krasnodar	2:0	-	-	2
Sat. 21 May.	 Lokomotiv M. - Saransk	3:0	+	-	3
Sat. 21 May.	 Krylya Sovetov - Anzhi	0:0	-	-	0
Sat. 21 May.	 Dinamo Moscow - Zenit	0:3	+	-	3
Sat. 21 May.	 Rubin Kazan - CSKA Moscow	0:1	-	-	1
Sat. 21 May.	 FC Krasnodar - Amkar Perm	1:0	-	-	1
Sat. 21 May.	 Ufa - Spartak Moscow	3:1	+	+	4
Sat. 21 May.	 Terek Grozny - Rostov	0:2	-	-	2
Sat. 21 May.	 Ural - Kuban Krasnodar	2:0	-	-	2
