Sat. 14 May.	 Met. Kharkiv - Dynamo Kiev	1:4	+	+	5
Sun. 15 May.	 Dnipro - Olimpik Donetsk	1:1	-	+	2
Sun. 15 May.	 Shakhtar - Zorya	2:3	+	+	5
Sun. 15 May.	 Vorskla - Olexandria	0:1	-	-	1
Fri. 22 Jul.	 Shakhtar - Zirka	4:1	(3-1)	+	+	5
Sat. 23 Jul.	 Stal Dnepr. - Karpaty	0:3	(0-2)	+	-	3
Sat. 23 Jul.	 Dynamo Kiev - Olexandria	5:1	(1-0)	+	+	6
Sat. 23 Jul.	 Vorskla - Chornomorets	1:0	(1-0)	-	-	1
Sun. 24 Jul.	 Zorya - Olimpik Donetsk	3:0	(2-0)	+	-	3
Sun. 24 Jul.	 Dnipro - Volyn Lutsk	5:0	(3-0)	+	-	5
Sat. 30 Jul.	 Volyn Lutsk - Olimpik Donetsk	2:2	(1-0)	+	+	4
Sat. 30 Jul.	 Zirka - Zorya	1:1	(0-0)	-	+	2
Sat. 30 Jul.	 Chornomorets - Shakhtar	1:4	(0-0)	+	+	5
Sun. 31 Jul.	 Dnipro - Stal Dnepr.	1:1	(0-0)	-	+	2
Sun. 31 Jul.	 Karpaty - Dynamo Kiev	0:2	(0-1)	-	-	2
Sun. 31 Jul.	 Olexandria - Vorskla	3:2	(3-1)	+	+	5
Sat. 6 Aug.	 Stal Dnepr. - Volyn Lutsk	1:0	(1-0)	-	-	1
Sat. 6 Aug.	 Dynamo Kiev - Dnipro	1:0	(0-0)	-	-	1
Sun. 7 Aug.	 Olimpik Donetsk - Zirka	4:2	(0-0)	+	+	6
Sun. 7 Aug.	 Shakhtar - Olexandria	1:0	(1-0)	-	-	1
Sun. 7 Aug.	 Vorskla - Karpaty	1:1	(0-1)	-	+	2
Sun. 7 Aug.	 Zorya - Chornomorets	4:0	(3-0)	+	-	4
Fri. 12 Aug.	 Karpaty - Shakhtar	2:3	(2-0)	+	+	5
Sat. 13 Aug.	 Volyn Lutsk - Zirka	1:0	(0-0)	-	-	1
Sat. 13 Aug.	 Dnipro - Vorskla	1:1	(0-0)	-	+	2
Sat. 13 Aug.	 Olexandria - Zorya	0:1	(0-1)	-	-	1
Sun. 14 Aug.	 Chornomorets - Olimpik Donetsk	3:0	(2-0)	+	-	3
Sun. 14 Aug.	 Stal Dnepr. - Dynamo Kiev	1:2	(1-0)	+	+	3
Sat. 20 Aug.	 Olimpik Donetsk - Olexandria	0:2	(0-1)	-	-	2
Sat. 20 Aug.	 Dynamo Kiev - Volyn Lutsk	2:1	(0-1)	+	+	3
Sun. 21 Aug.	 Shakhtar - Dnipro	4:0	(2-0)	+	-	4
Sun. 21 Aug.	 Zorya - Karpaty	2:1	(1-0)	+	+	3
Sun. 21 Aug.	 Zirka - Chornomorets	0:1	(0-1)	-	-	1
Sun. 21 Aug.	 Vorskla - Stal Dnepr.	0:0	(0-0)	-	-	0
Fri. 26 Aug.	 Dnipro - Zorya	2:0	(1-0)	-	-	2
Sat. 27 Aug.	 Volyn Lutsk - Chornomorets	0:1	(0-0)	-	-	1
Sat. 27 Aug.	 Dynamo Kiev - Vorskla	0:2	(0-1)	-	-	2
Sun. 28 Aug.	 Olexandria - Zirka	4:0	(1-0)	+	-	4
Sun. 28 Aug.	 Karpaty - Olimpik Donetsk	0:2	(0-1)	-	-	2
Sun. 28 Aug.	 Stal Dnepr. - Shakhtar	0:1	(0-0)	-	-	1
